Canonical Topic,Level,# Sources,Canvas,Articulate Rise,PDF,AI-X Framework,LX ASU AI,Recommended Primary,Differentiator Notes
AI agents: what they are & when to use,Advanced,2,,,AI progression: prompts → agents (+3),,Building Custom Bots and AI Agents,PDF,"LX ASU AI: ASU Learning Experience hub — curated entry points, policy context, and ASU-specific tool access."
ASU policy: VITRA & approved tools,Intermediate,2,Vendor IT Risk Assessment (VITRA),,,,AI Tools at ASU (+1),Canvas,"LX ASU AI: ASU Learning Experience hub — curated entry points, policy context, and ASU-specific tool access."
Accessibility of AI tools,Intermediate,1,,,,Accessibility Guide,,AI-X Framework,Only in AI-X Framework. Design-process tools for building AI-mediated learning; use when the learner is CREATING a tool.
"Advanced prompting (few-shot, CoT, role, RACCCA)",Advanced,3,Apply RACCCA evaluation method,Module 5: Evaluating Outputs – RACCCA: evaluating AI output,Chain of Thought,,,PDF,Canvas: Self-paced Canvas course — knowledge checks + guided practice; best for structured faculty learners. | Articulate Rise: Polished interactive lessons — best for linear first-exposure learning with inline activities.
Automation strategy & prioritization,Advanced,2,,Module 6: Integrating GenAI into Teaching – Streamlining lesson planning with AI,Automation Journey (5 steps) (+2),,,PDF,Articulate Rise: Polished interactive lessons — best for linear first-exposure learning with inline activities.
"Bias, fairness & responsible use",Advanced,3,Ethical AI key terms (+3),Module 3: Ethics & Responsible Use – Overview – Ethics & Responsible Use (+7),,Principled Innovation,,AI-X Framework,Canvas: Self-paced Canvas course — knowledge checks + guided practice; best for structured faculty learners. | Articulate Rise: Polished interactive lessons — best for linear first-exposure learning with inline activities.
Course orientation / how to use,Foundational,3,About this course (+1),,,AI-X Toolkit overview,Support & Community,Canvas,"AI-X Framework: Design-process tools for building AI-mediated learning; use when the learner is CREATING a tool. | LX ASU AI: ASU Learning Experience hub — curated entry points, policy context, and ASU-specific tool access."
Defining the learning challenge,Intermediate,1,,,,Challenge: Getting Started (+2),,AI-X Framework,Only in AI-X Framework. Design-process tools for building AI-mediated learning; use when the learner is CREATING a tool.
Designing AI-enhanced assignments,Intermediate,1,,,,,AI-Enhanced Assignments,LX ASU AI,"Only in LX ASU AI. ASU Learning Experience hub — curated entry points, policy context, and ASU-specific tool access."
"Hallucinations, accuracy & evaluating output",Advanced,3,Evaluating and revising prompts iteratively (+2),Module 5: Evaluating Outputs – Overview – Evaluating Outputs (+3),,Sense-Making Ethical Evaluation,,AI-X Framework,Canvas: Self-paced Canvas course — knowledge checks + guided practice; best for structured faculty learners. | Articulate Rise: Polished interactive lessons — best for linear first-exposure learning with inline activities.
How AI/LLMs work under the hood,Foundational,1,,,,How AI Systems Work,,AI-X Framework,Only in AI-X Framework. Design-process tools for building AI-mediated learning; use when the learner is CREATING a tool.
"Learner-centered design (personas, stakeholders)",Intermediate,1,,,,Personas & Learning Scenarios (+1),,AI-X Framework,Only in AI-X Framework. Design-process tools for building AI-mediated learning; use when the learner is CREATING a tool.
"Privacy, data & FERPA",Advanced,1,,,,Data Plan,,AI-X Framework,Only in AI-X Framework. Design-process tools for building AI-mediated learning; use when the learner is CREATING a tool.
"Prompting fundamentals (zero-shot, structure)",Advanced,4,Bias and ethics in prompt engineering (+1),Module 4: Designing Prompts – Advanced prompting strategies for educators (+1),Zero-Shot Prompting (+2),,Prompting (foundations) (+1),PDF,"Canvas: Self-paced Canvas course — knowledge checks + guided practice; best for structured faculty learners. | Articulate Rise: Polished interactive lessons — best for linear first-exposure learning with inline activities. | LX ASU AI: ASU Learning Experience hub — curated entry points, policy context, and ASU-specific tool access."
Prototyping & requirements,Advanced,1,,,,Learning Sciences Roadmap (+3),,AI-X Framework,Only in AI-X Framework. Design-process tools for building AI-mediated learning; use when the learner is CREATING a tool.
Quick reference / cheat sheet,Foundational,1,,,Quick Reference Cheat Sheet,,,PDF,"Only in PDF. Dense reference guide — best for look-up, advanced learners, and agent/automation depth."
Self-assessment of an AI idea (early stage),Intermediate,1,,,,AI-X Compass (self-assessment),,AI-X Framework,Only in AI-X Framework. Design-process tools for building AI-mediated learning; use when the learner is CREATING a tool.
Self-evaluation of a working AI prototype,Advanced,1,,,,AI-X Guide (4-level reflection),,AI-X Framework,Only in AI-X Framework. Design-process tools for building AI-mediated learning; use when the learner is CREATING a tool.
Syllabus statements & classroom AI policy,Advanced,1,Syllabus statements for generative AI (+1),,,,,Canvas,Only in Canvas. Self-paced Canvas course — knowledge checks + guided practice; best for structured faculty learners.
Teaching practices that integrate AI,Foundational,2,Faculty panel: voices on GenAI in teaching,,,,AI-supported Teaching Practices,Canvas,"LX ASU AI: ASU Learning Experience hub — curated entry points, policy context, and ASU-specific tool access."
Usability & end-user testing,Intermediate,1,,,,End-User & Usability Testing (+4),,AI-X Framework,Only in AI-X Framework. Design-process tools for building AI-mediated learning; use when the learner is CREATING a tool.
Use cases across industries / education,Intermediate,2,Industry uses of generative AI (+1),,,,AI Atlas (+1),Canvas,"LX ASU AI: ASU Learning Experience hub — curated entry points, policy context, and ASU-specific tool access."
What is generative AI / GPT vs LLM,Foundational,3,Course Glossary of key terms (+2),,,AI-X Framework overview,AI Creative Learning Lab — Overview (+2),Canvas,"AI-X Framework: Design-process tools for building AI-mediated learning; use when the learner is CREATING a tool. | LX ASU AI: ASU Learning Experience hub — curated entry points, policy context, and ASU-specific tool access."
(uncategorized),Intermediate,5,ASU ChatGPT resources for faculty (+11),Module 1: Fundamentals of Generative AI – Overview – Fundamentals of Generative AI (+23),Traditional AI vs Generative AI (+21),Creation: Getting Started (+2),FAQs (foundations) (+2),Canvas,"Articulate Rise: Polished interactive lessons — best for linear first-exposure learning with inline activities. | PDF: Dense reference guide — best for look-up, advanced learners, and agent/automation depth. | AI-X Framework: Design-process tools for building AI-mediated learning; use when the learner is CREATING a tool. | LX ASU AI: ASU Learning Experience hub — curated entry points, policy context, and ASU-specific tool access."
